Matched_RM,Precipitation,Mean_Yield,Standard_Deviation,TOPSIS_Score,Rank
RIVERDALE,33.47727272727273,64.33939370389946,17.578465245673662,0.34343688868791844,64.0
ST. CLEMENTS,55.85714285714285,55.76442550202868,7.7932250054253425,0.34143519208829487,65.0
MINITONAS-BOWSMAN,28.385416666666668,67.83813196826095,17.533073698848607,0.33497274199274263,66.0
GILBERT PLAINS,40.08080808080808,64.45814536743411,14.030964205075621,0.33465008951067504,67.0
KELSEY,56.16216216216216,34.844721980886185,10.104162724754412,0.325354473549596,68.0
WALLACE-WOODWORTH,28.452380952380956,63.560293820692486,16.795994211096275,0.31718791590684414,69.0
MOSSEY RIVER,34.13186813186813,48.25512975058421,18.06029558947633,0.31498416545767666,70.0
ROLAND,33.1,58.185503532299556,16.15602835392121,0.31241745276994093,71.0
TWO BORDERS,26.167630057803468,55.745799735701425,18.333884648504668,0.30847969413891974,72.0
PIPESTONE,25.964285714285715,57.347685489728505,17.787285809836455,0.30570882932243854,73.0
SWAN VALLEY WEST,30.4014598540146,66.31158024803186,13.93074626926116,0.30221072044806735,74.0
SIFTON,34.68333333333333,51.9821318359375,15.617359586701756,0.29793034455072154,75.0
DAUPHIN,40.32231404958678,56.819338128174856,11.218453034293281,0.2902697312005653,76.0
WINNIPEG,44.71428571428572,58.04864743011723,7.564129736023781,0.2857000462486876,77.0
RUSSELL-BINSCARTH,41.30612244897959,57.358920756427906,9.344522521913223,0.28031654248093807,78.0
WEST ST. PAUL,41.833333333333336,62.55,1.2020815280171253,0.24953531928845793,79.0
LAKESHORE,40.9009009009009,50.23829451147018,7.734752162849457,0.24704807565728973,80.0
ALONSA,41.84897959183674,51.46971999669612,6.235199652470861,0.24450579998101118,81.0
CORNWALLIS,32.95454545454545,54.80041495023694,10.183928727868755,0.24322822972107178,82.0
VICTORIA,32.7,56.833623552343596,9.531969796559629,0.24242088429379144,83.0
HEADINGLEY,34.9,68.5494573643411,0.0,0.2355909733181215,84.0
COLDWELL,42.973333333333336,48.8,0.0,0.21511391454675782,85.0
MOUNTAIN,28.90748898678414,56.84555469500353,6.7741249310825005,0.20694192500981798,86.0
ELLICE-ARCHIE,28.927710843373493,44.91995651160346,9.365298763609065,0.19200580340973913,87.0
WEST INTERLAKE,42.92465753424658,22.0,0.0,0.1738858973729218,88.0
ETHELBERT,32.82954545454545,45.45581224138094,3.54468500283912,0.16262289946799496,89.0
